,test_day,model,hour,feature,importance,importance_type,importance_std
55,2020-10-02 09:00:00,Decision Tree,9,Luxembourg_holiday,0.0,tree_feature_importance,
56,2020-10-02 09:00:00,Decision Tree,9,weekday,0.0,tree_feature_importance,
57,2020-10-02 09:00:00,Decision Tree,9,hour,0.0,tree_feature_importance,
58,2020-10-02 09:00:00,Decision Tree,9,month,0.0,tree_feature_importance,
59,2020-10-02 09:00:00,Decision Tree,9,year,0.0,tree_feature_importance,
60,2020-10-02 09:00:00,Random Forest,9,Total Load FC [MWh],0.00013553046767306423,tree_feature_importance,
61,2020-10-02 09:00:00,Random Forest,9,Wind Offshore Production FC [MWh],4.6967781430460696e-05,tree_feature_importance,
62,2020-10-02 09:00:00,Random Forest,9,Wind Onshore Production FC [MWh],5.743230525713152e-05,tree_feature_importance,
63,2020-10-02 09:00:00,Random Forest,9,Photovoltaik Production FC [MWh],6.690644997751822e-05,tree_feature_importance,
64,2020-10-02 09:00:00,Random Forest,9,Other Production FC [MWh],8.702656775943737e-05,tree_feature_importance,
65,2020-10-02 09:00:00,Random Forest,9,Day Ahead Price [EUR/MWh],0.999490121106452,tree_feature_importance,
66,2020-10-02 09:00:00,Random Forest,9,German_holiday,5.942494102017888e-07,tree_feature_importance,
67,2020-10-02 09:00:00,Random Forest,9,Luxembourg_holiday,6.00199742934026e-07,tree_feature_importance,
68,2020-10-02 09:00:00,Random Forest,9,weekday,3.0158673479900732e-05,tree_feature_importance,
69,2020-10-02 09:00:00,Random Forest,9,hour,0.0,tree_feature_importance,
70,2020-10-02 09:00:00,Random Forest,9,month,7.879133123095026e-05,tree_feature_importance,
71,2020-10-02 09:00:00,Random Forest,9,year,5.8708675864598685e-06,tree_feature_importance,
72,2020-10-02 09:00:00,Neural Network,9,Total Load FC [MWh],0.09446957381877966,permutation_importance_train,0.004368928668017815
73,2020-10-02 09:00:00,Neural Network,9,Wind Offshore Production FC [MWh],0.02049899615992497,permutation_importance_train,0.0023071781127453166
74,2020-10-02 09:00:00,Neural Network,9,Wind Onshore Production FC [MWh],0.06848761963062751,permutation_importance_train,0.002898249264221766
75,2020-10-02 09:00:00,Neural Network,9,Photovoltaik Production FC [MWh],0.06294624572966262,permutation_importance_train,0.0036106845673379816
76,2020-10-02 09:00:00,Neural Network,9,Other Production FC [MWh],0.052975544652070675,permutation_importance_train,0.003554127327658136
77,2020-10-02 09:00:00,Neural Network,9,Day Ahead Price [EUR/MWh],0.6876225298286166,permutation_importance_train,0.026942983999364324
78,2020-10-02 09:00:00,Neural Network,9,German_holiday,0.01134544450916947,permutation_importance_train,0.0022791705589302698
79,2020-10-02 09:00:00,Neural Network,9,Luxembourg_holiday,0.013558530651932323,permutation_importance_train,0.002118345353738988
80,2020-10-02 09:00:00,Neural Network,9,weekday,0.022710995069109754,permutation_importance_train,0.002143389966193074
81,2020-10-02 09:00:00,Neural Network,9,hour,0.0,permutation_importance_train,0.0
82,2020-10-02 09:00:00,Neural Network,9,month,0.09518863071514756,permutation_importance_train,0.006320089337868119
83,2020-10-02 09:00:00,Neural Network,9,year,0.04844218867433794,permutation_importance_train,0.0037007731908806824
84,2020-10-02 09:00:00,Naive,9,Total Load FC [MWh],,not_applicable,
85,2020-10-02 09:00:00,Naive,9,Wind Offshore Production FC [MWh],,not_applicable,
86,2020-10-02 09:00:00,Naive,9,Wind Onshore Production FC [MWh],,not_applicable,
87,2020-10-02 09:00:00,Naive,9,Photovoltaik Production FC [MWh],,not_applicable,
88,2020-10-02 09:00:00,Naive,9,Other Production FC [MWh],,not_applicable,
89,2020-10-02 09:00:00,Naive,9,Day Ahead Price [EUR/MWh],,not_applicable,
90,2020-10-02 09:00:00,Naive,9,German_holiday,,not_applicable,
91,2020-10-02 09:00:00,Naive,9,Luxembourg_holiday,,not_applicable,
92,2020-10-02 09:00:00,Naive,9,weekday,,not_applicable,
93,2020-10-02 09:00:00,Naive,9,hour,,not_applicable,
94,2020-10-02 09:00:00,Naive,9,month,,not_applicable,
95,2020-10-02 09:00:00,Naive,9,year,,not_applicable,
96,2020-10-03 09:00:00,Decision Tree,9,Total Load FC [MWh],0.0,tree_feature_importance,
97,2020-10-03 09:00:00,Decision Tree,9,Wind Offshore Production FC [MWh],0.0,tree_feature_importance,
98,2020-10-03 09:00:00,Decision Tree,9,Wind Onshore Production FC [MWh],0.0,tree_feature_importance,
99,2020-10-03 09:00:00,Decision Tree,9,Photovoltaik Production FC [MWh],0.0,tree_feature_importance,
100,2020-10-03 09:00:00,Decision Tree,9,Other Production FC [MWh],3.161954672017349e-06,tree_feature_importance,
101,2020-10-03 09:00:00,Decision Tree,9,Day Ahead Price [EUR/MWh],0.999996838045328,tree_feature_importance,
102,2020-10-03 09:00:00,Decision Tree,9,German_holiday,0.0,tree_feature_importance,
103,2020-10-03 09:00:00,Decision Tree,9,Luxembourg_holiday,0.0,tree_feature_importance,
104,2020-10-03 09:00:00,Decision Tree,9,weekday,0.0,tree_feature_importance,
105,2020-10-03 09:00:00,Decision Tree,9,hour,0.0,tree_feature_importance,
106,2020-10-03 09:00:00,Decision Tree,9,month,0.0,tree_feature_importance,
107,2020-10-03 09:00:00,Decision Tree,9,year,0.0,tree_feature_importance,
